Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Id,Customer Segment,Customer State,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,4,4,65.20999908,141.75,Shipping on time,0,24,Women's Apparel,Harlingen,EE. UU.,7602,Corporate,TX,5,Golf,26.19086266,-97.69604492,Pacific Asia,Zahedan,Irán,7602,8/26/2016 13:41,41348,502,8.25,0.059999999,103214,50.0,0.460000008,3,150.0,141.75,65.20999908,South Asia,Sistán y Baluchistán,COMPLETE,,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,8/30/2016 13:41,Standard Class
DEBIT,3,2,-88.0,49.79999924,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,5731,Home Office,PR,3,Footwear,18.25926209,-66.37062836,Europe,Saint-Laurent-du-Var,Francia,5731,7/23/2015 6:53,13927,172,10.19999981,0.170000002,34852,30.0,-1.769999981,2,60.0,49.79999924,-88.0,Western Europe,Provenza-Alpes-Costa Azul,COMPLETE,,172,9,,Nike Women's Tempo Shorts,30.0,0,7/26/2015 6:53,Second Class
TRANSFER,2,4,17.54000092,278.3900146,Advance shipping,0,69,Health and Beauty,Brooklyn,EE. UU.,15714,Corporate,NY,12,Health and Beauty ,40.65559006,-73.9330368,Pacific Asia,Shenzhen,China,15714,11/19/2017 8:51,72161,1356,14.64999962,0.050000001,175476,293.0400085,0.059999999,1,293.0400085,278.3900146,17.54000092,Eastern Asia,Guangdong,PROCESSING,,1356,69,,First aid kit,293.0400085,0,11/21/2017 8:51,Standard Class
TRANSFER,6,4,79.68000031,331.980011,Late delivery,1,45,Fishing,Mesquite,EE. UU.,11959,Corporate,TX,7,Fan Shop,32.78041458,-96.60680389,Europe,Paris,Francia,11959,10/4/2015 19:56,18965,1004,68.0,0.170000002,47423,399.980011,0.239999995,1,399.980011,331.980011,79.68000031,Western Europe,Isla de Francia,PENDING,,1004,45,,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,10/10/2015 19:56,Standard Class
TRANSFER,2,4,-8.229999542,139.4400024,Advance shipping,0,46,Indoor/Outdoor Games,Albuquerque,EE. UU.,5752,Consumer,NM,7,Fan Shop,35.11821365,-106.7038727,USCA,Reading,Estados Unidos,5752,6/27/2016 18:20,37251,1014,10.5,0.07,92991,49.97999954,-0.059999999,3,149.9400024,139.4400024,-8.229999542,East of USA,Pensilvania,PROCESSING,19601.0,1014,46,,O'Brien Men's Neoprene Life Vest,49.97999954,0,6/29/2016 18:20,Standard Class
DEBIT,3,2,59.5,169.9900055,Late delivery,1,48,Water Sports,Brooklyn,EE. UU.,7612,Consumer,NY,7,Fan Shop,40.63061905,-73.92346191,Europe,Sofia,Bulgaria,7612,12/12/2016 12:08,48742,1073,30.0,0.150000006,121903,199.9900055,0.349999994,1,199.9900055,169.9900055,59.5,Eastern Europe,Sofía-Ciudad,COMPLETE,,1073,48,,Pelican Sunstream 100 Kayak,199.9900055,0,12/15/2016 12:08,Second Class
DEBIT,3,4,-128.0399933,191.9700012,Advance shipping,0,17,Cleats,Aurora,EE. UU.,3832,Corporate,IL,4,Apparel,39.70932007,-104.8145828,Pacific Asia,Kashan,Irán,3832,8/26/2016 2:50,41317,365,47.99000168,0.200000003,103140,59.99000168,-0.670000017,4,239.9600067,191.9700012,-128.0399933,South Asia,Isfahán,COMPLETE,,365,17,,Perfect Fitness Perfect Rip Deck,59.99000168,0,8/29/2016 2:50,Standard Class
DEBIT,2,4,184.4799957,409.9599915,Advance shipping,0,9,Cardio Equipment,Hamilton,EE. UU.,4140,Corporate,OH,3,Footwear,39.3985405,-84.55661774,Africa,Kinshasa,República Democrática del Congo,4140,1/2/2017 21:02,50206,191,89.98999786,0.180000007,125494,99.98999786,0.449999988,5,499.9500122,409.9599915,184.4799957,Central Africa,Kinshasa,COMPLETE,,191,9,,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,1/4/2017 21:02,Standard Class
TRANSFER,2,1,54.27999878,113.0899963,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,359,Consumer,PR,4,Apparel,18.24758339,-66.0252533,LATAM,Chinandega,Nicaragua,359,3/5/2017 0:38,54395,403,16.89999962,0.129999995,136027,129.9900055,0.479999989,1,129.9900055,113.0899963,54.27999878,Central America,Chinandega,PROCESSING,,403,18,,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,3/7/2017 0:38,First Class
DEBIT,2,2,123.6800003,247.3699951,Shipping on time,0,12,Boxing & MMA,Roswell,EE. UU.,695,Corporate,NM,3,Footwear,33.44919205,-104.5260162,USCA,Los Angeles,Estados Unidos,695,7/10/2016 19:53,38146,249,27.48999977,0.100000001,95208,54.97000122,0.5,5,274.8500061,247.3699951,123.6800003,West of USA ,California,COMPLETE,90045.0,249,12,,Under Armour Women's Micro G Skulpt Running S,54.97000122,0,7/12/2016 19:53,Second Class
